127.0.0.1 - root [07/Mar/2019:09:40:36 +0800] "GET /manager/text/reload?path=/javaee HTTP/1.1" 200 64
127.0.0.1 - - [07/Mar/2019:09:40:36 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:40:36 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:40:36 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:40:36 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:40:36 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:40:36 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - root [07/Mar/2019:09:40:36 +0800] "GET /manager/text/list HTTP/1.1" 200 280
127.0.0.1 - root [07/Mar/2019:09:40:36 +0800] "GET /manager/text/reload?path=/javaee HTTP/1.1" 200 64
127.0.0.1 - - [07/Mar/2019:09:40:36 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:40:36 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:40:49 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:40:49 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:40:49 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:40:49 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:40:49 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:40:49 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - root [07/Mar/2019:09:40:49 +0800] "GET /manager/text/list HTTP/1.1" 200 280
127.0.0.1 - root [07/Mar/2019:09:40:49 +0800] "GET /manager/text/reload?path=/javaee HTTP/1.1" 200 64
127.0.0.1 - - [07/Mar/2019:09:40:49 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:40:49 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:40:49 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:40:49 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:40:49 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:40:49 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - root [07/Mar/2019:09:40:49 +0800] "GET /manager/text/list HTTP/1.1" 200 280
127.0.0.1 - - [07/Mar/2019:09:40:49 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:40:49 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:40:50 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:40:50 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:40:50 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:40:50 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - root [07/Mar/2019:09:40:50 +0800] "GET /manager/text/list HTTP/1.1" 200 280
127.0.0.1 - root [07/Mar/2019:09:40:50 +0800] "GET /manager/text/reload?path=/javaee HTTP/1.1" 200 64
127.0.0.1 - - [07/Mar/2019:09:40:50 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:40:50 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:41:59 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:41:59 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:41:59 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:41:59 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:41:59 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:41:59 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - root [07/Mar/2019:09:41:59 +0800] "GET /manager/text/list HTTP/1.1" 200 280
127.0.0.1 - root [07/Mar/2019:09:41:59 +0800] "GET /manager/text/reload?path=/javaee HTTP/1.1" 200 64
127.0.0.1 - - [07/Mar/2019:09:41:59 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:41:59 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:50:39 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:50:39 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:50:39 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:50:39 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:50:39 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:50:39 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - root [07/Mar/2019:09:50:39 +0800] "GET /manager/text/list HTTP/1.1" 200 280
127.0.0.1 - root [07/Mar/2019:09:50:39 +0800] "GET /manager/text/reload?path=/javaee HTTP/1.1" 200 64
127.0.0.1 - - [07/Mar/2019:09:50:39 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:50:39 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:51:16 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:51:16 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:51:16 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:51:16 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:51:16 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:51:16 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - root [07/Mar/2019:09:51:16 +0800] "GET /manager/text/list HTTP/1.1" 200 280
127.0.0.1 - - [07/Mar/2019:09:51:16 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:51:16 +0800] "GET /manager/text/ HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [07/Mar/2019:09:51:25 +0800] "GET /javaee/student?id=3 HTTP/1.1" 500 2821
0:0:0:0:0:0:0:1 - - [07/Mar/2019:09:51:25 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [07/Mar/2019:09:52:12 +0800] "GET /javaee/student?id=4 HTTP/1.1" 500 2821
127.0.0.1 - - [07/Mar/2019:09:52:34 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:52:34 +0800] "GET /manager/text/ HTTP/1.1" 200 39
